run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,1200,600,0.1875,2738.47826086956502,0.5813953488372093,51555.804083137620182,0.3021674134517502,3200,170620,4845
postgresql_sqleek_wo_m1_r1,SQLeek-W/O-M1,PostgreSQL,1,1440,600,0.1875,2738.47826086956502,0.5813953488372093,52110.373445978984819,0.3054177320711463,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,60,500,0.15625,2317.173913043478478,0.4883720930232558,40497.239673926116666,0.2373534150388355,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,180,700,0.21875,2738.47826086956502,0.5813953488372093,46886.070200469708652,0.2747982077157995,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,300,700,0.21875,2738.47826086956502,0.5813953488372093,49092.039083979259885,0.2877273419527562,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,480,800,0.25,2949.130434782608972,0.627906976744186,51045.682326442598423,0.2991776012568433,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,600,800,0.25,2949.130434782608972,0.627906976744186,51778.042113869363675,0.30346994557419626,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,720,800,0.25,2949.130434782608972,0.627906976744186,52632.803770529913891,0.308479684506681,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,900,800,0.25,2949.130434782608972,0.627906976744186,53668.774898402494728,0.3145514880928525,3200,170620,4845
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,1200,800,0.25,2949.130434782608972,0.627906976744186,54706.113644925739209,0.320631307261316,3200,170620,4845
