tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek-W/O-M2,PostgreSQL,180,0.1875,0,600,0,2896.46739130435,105.32608695652,0.349864135880151,0.0533912165322346,59693.8188638714,9109.60936472984,3200,4845,170620,0.597826086956522,0,0,0.0266956082661173,0.0523233922015899
SQLeek-W/O-M2,PostgreSQL,300,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.351722749024103,0.0546801633746784,60010.9354384925,9329.52947498764,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.0273400816873392,0.0535865601071848
SQLeek-W/O-M2,PostgreSQL,480,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.353815817950095,0.0563785171066203,60368.0548586452,9619.30258873155,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.0281892585533101,0.0552509467644879
SQLeek-W/O-M2,PostgreSQL,600,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.354630401500517,0.057111395206046,60507.0391040182,9744.34625005556,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.028555697603023,0.055969167301925
SQLeek-W/O-M2,PostgreSQL,720,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.355271648083875,0.0577060075901161,60616.4485960707,9845.79901502557,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.028853003795058,0.0565518874383137
SQLeek-W/O-M2,PostgreSQL,900,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.356330706894202,0.0587463149478537,60797.1452102888,10023.2962564028,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.0293731574739269,0.0575713886488967
SQLeek-W/O-M2,PostgreSQL,1200,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.357399785182395,0.0598547507284122,60979.5513478202,10212.4175692817,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.0299273753642061,0.0586576557138439
SQLeek-W/O-M2,PostgreSQL,1440,0.1953125,0.015625,625,50,2949.13043478261,171.99677976499,0.358284505077871,0.0608136917850795,61130.5022563864,10376.0320923703,3200,4845,170620,0.608695652173913,0.0078125,0.0153125,0.0304068458925398,0.0595974179493779
SQLeek-W/O-M2,MySQL,60,0.3986962190352021,0.01295460922153752,1834.8,59.61711163751561,775.6,20.452383724153037,0.2946449544876187,0.0055472389310594955,96332.4,1813.636485076323,4602,1445,326944,0.5367474048442906,0.005793477368260705,0.011355215641790982,0.0024808006674564603,0.004862369308214661
SQLeek-W/O-M2,MySQL,180,0.43941764450239024,0.016251856202602288,2022.2,74.79104224437576,819.6,20.489021450523204,0.3138084809631007,0.006274966055637778,102597.8,2051.5625020944403,4602,1445,326944,0.56719723183391,0.007268051045914062,0.01424538004999156,0.0028062501313819597,0.005500250257508641
