bucket_id	reason	seed_count	raw_profile_count	raw_profile_bytes	bucket_profdata	cumulative_profdata	warning_count	merge_log
99	periodic_restart	18400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000099.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000099.merge.log
100	periodic_restart	18600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000100.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000100.merge.log
101	periodic_restart	18800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000101.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000101.merge.log
102	periodic_restart	19000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000102.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000102.merge.log
103	periodic_restart	19200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000103.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000103.merge.log
104	periodic_restart	19400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000104.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000104.merge.log
105	periodic_restart	19600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000105.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000105.merge.log
106	periodic_restart	19800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000106.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000106.merge.log
107	checkpoint_t1200	19886	238	219534296	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000107.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000107.merge.log
108	periodic_restart	20000	192	177850232	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000108.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000108.merge.log
109	periodic_restart	20200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000109.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000109.merge.log
110	periodic_restart	20400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000110.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000110.merge.log
111	periodic_restart	20600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000111.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000111.merge.log
112	periodic_restart	20800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000112.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000112.merge.log
113	periodic_restart	21000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000113.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000113.merge.log
114	periodic_restart	21200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000114.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000114.merge.log
115	checkpoint_t1440	21353	304	281475032	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000115.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000115.merge.log
116	checkpoint_t1441	21355	80	72738680	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000116.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000116.merge.log
