tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
SQLaser,PostgreSQL,300,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,480,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,600,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,720,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,900,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,1200,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,PostgreSQL,1440,0.0625,0,0,0,200,0,1239.418605,0,0.147066,0,0,0,1058.874452,0
SQLaser,SQLite,60,0.668803,0.006474,0.002895,0.005675,1878,18.179659,627.6,5.458938,0.366777,0.004766,0.002132,0.004178,22941,297.685236
SQLaser,SQLite,180,0.688818,0.004437,0.001984,0.003889,1934.2,12.457929,633,3.741657,0.384027,0.002746,0.001228,0.002407,24020.6,172.247787
SQLaser,SQLite,300,0.696866,0.005368,0.002401,0.004705,1956.8,15.073155,636,1.414214,0.390458,0.003809,0.001703,0.003339,24425,239.249869
SQLaser,SQLite,480,0.69943,0.005258,0.002352,0.004609,1964,14.764823,637.6,0.894427,0.393687,0.003893,0.001741,0.003413,24627,243.789869
SQLaser,SQLite,600,0.702208,0.005397,0.002414,0.004731,1971.8,15.155857,638,0,0.394646,0.004336,0.001939,0.003801,24687,271.429549
SQLaser,SQLite,720,0.70406,0.005043,0.002255,0.00442,1977,14.159802,638,0,0.397854,0.003201,0.001432,0.002806,24888.8,200.986815
SQLaser,SQLite,900,0.704843,0.004982,0.002228,0.004367,1979.2,13.989282,638.4,0.894427,0.399172,0.003707,0.001658,0.003249,24972.2,233.520235
SQLaser,SQLite,1200,0.710256,0.004537,0.002029,0.003977,1994.4,12.739702,638.8,1.095445,0.400857,0.004388,0.001962,0.003846,25077.8,276.486347
SQLaser,SQLite,1440,0.711396,0.005171,0.002312,0.004532,1997.6,14.518953,639.2,1.095445,0.401605,0.003914,0.001751,0.003431,25125.4,245.615146
SQLeek,MariaDB,0,0.248117,0,0,0,1054,0,1011,0,0.171851,0.000058,0.000041,0.00008,50698,16.970563
SQLeek,MariaDB,60,0.455155,0.007491,0.005297,0.010381,1933.5,31.819805,1797.5,26.162951,0.312633,0.003909,0.002764,0.005418,92230.5,1153.29116
SQLeek,MariaDB,180,0.484699,0.001665,0.001177,0.002307,2059,7.071068,1893,41.012193,0.33519,0.00406,0.002871,0.005627,98885,1197.838887
