run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,risk_targets_total,global_branches_total,time_to_first_risk_target_sec,time_to_50pct_risk_targets_sec
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,300,606.72,0.1875,28.88372093023256,0.627906976744186,58482.99999999999,0.2343876495908045,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,480,606.72,0.1875,28.88372093023256,0.627906976744186,59042.0,0.2366280048414117,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,600,606.72,0.1875,28.88372093023256,0.627906976744186,59268.99999999999,0.2375377734315509,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,720,606.72,0.1875,28.88372093023256,0.627906976744186,59344.99999999999,0.237842365558646,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,900,606.72,0.1875,28.88372093023256,0.627906976744186,59560.99999999998,0.2387080484461793,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,1200,606.72,0.1875,28.88372093023256,0.627906976744186,60496.99999999999,0.2424593409588239,,,,,
postgresql_squirrel_r1,SQUIRREL,PostgreSQL,1,1440,606.72,0.1875,28.88372093023256,0.627906976744186,60855.0,0.2438941301890876,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,60,606.72,0.1875,26.74418604651163,0.5813953488372093,53260.99999999999,0.2134589642264562,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,180,606.72,0.1875,28.88372093023256,0.627906976744186,57870.0,0.231930873618314,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,300,606.72,0.1875,28.88372093023256,0.627906976744186,58505.99999999999,0.2344798287871622,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,480,606.72,0.1875,28.88372093023256,0.627906976744186,59092.0,0.2368283943987111,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,600,606.72,0.1875,28.88372093023256,0.627906976744186,59244.99999999999,0.2374415864440472,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,720,606.72,0.1875,28.88372093023256,0.627906976744186,59389.99999999999,0.2380227161602154,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,900,606.72,0.1875,28.88372093023256,0.627906976744186,59553.99999999999,0.2386799939081574,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,1200,606.72,0.1875,28.88372093023256,0.627906976744186,60101.99999999999,0.2408762634561587,,,,,
postgresql_squirrel_r2,SQUIRREL,PostgreSQL,2,1440,606.72,0.1875,28.88372093023256,0.627906976744186,60227.99999999999,0.2413812451405532,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,60,606.72,0.1875,28.88372093023256,0.627906976744186,53190.0,0.2131744110550911,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,180,707.84,0.21875,31.023255813953487,0.6744186046511628,56709.99999999999,0.2272818358889681,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,300,707.84,0.21875,31.023255813953487,0.6744186046511628,57202.99999999999,0.2292576769239401,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,480,707.84,0.21875,31.023255813953487,0.6744186046511628,57974.99999999999,0.2323516916886427,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,600,707.84,0.21875,31.023255813953487,0.6744186046511628,58181.0,0.2331772966647162,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,720,707.84,0.21875,31.023255813953487,0.6744186046511628,58500.0,0.2344557820402863,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,900,707.84,0.21875,31.023255813953487,0.6744186046511628,58678.99999999999,0.2351731766554181,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,1200,707.84,0.21875,31.023255813953487,0.6744186046511628,58952.0,0.2362673036382728,,,,,
postgresql_squirrel_r3,SQUIRREL,PostgreSQL,3,1440,707.84,0.21875,31.023255813953487,0.6744186046511628,59130.99999999999,0.2369846982534046,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,60,606.72,0.1875,28.88372093023256,0.627906976744186,53962.0,0.2162684258197937,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,180,707.84,0.21875,31.023255813953487,0.6744186046511628,55855.99999999998,0.2238591822502945,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,300,707.84,0.21875,31.023255813953487,0.6744186046511628,56568.0,0.2267127295462379,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,480,707.84,0.21875,31.023255813953487,0.6744186046511628,57937.99999999998,0.2322034034162411,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,600,707.84,0.21875,31.023255813953487,0.6744186046511628,58520.99999999999,0.234539945654352,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,720,707.84,0.21875,31.023255813953487,0.6744186046511628,58685.99999999999,0.23520123119344,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,900,707.84,0.21875,31.023255813953487,0.6744186046511628,58897.99999999999,0.2360508829163894,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,1200,707.84,0.21875,31.023255813953487,0.6744186046511628,59317.99999999999,0.2377341551977043,,,,,
postgresql_squirrel_r4,SQUIRREL,PostgreSQL,4,1440,707.84,0.21875,31.023255813953487,0.6744186046511628,59569.99999999999,0.2387441185664932,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,60,606.72,0.1875,28.88372093023256,0.627906976744186,55093.0,0.2208012376059059,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,180,606.72,0.1875,28.88372093023256,0.627906976744186,57514.99999999999,0.2305081077614883,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,300,707.84,0.21875,31.023255813953487,0.6744186046511628,58300.99999999999,0.2336582316022347,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,480,707.84,0.21875,31.023255813953487,0.6744186046511628,59313.0,0.2377141162419744,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,600,707.84,0.21875,31.023255813953487,0.6744186046511628,59712.99999999999,0.2393172327003695,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,720,707.84,0.21875,31.023255813953487,0.6744186046511628,59980.99999999999,0.2403913207274942,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,900,707.84,0.21875,31.023255813953487,0.6744186046511628,60085.99999999999,0.2408121387978229,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,1200,707.84,0.21875,31.023255813953487,0.6744186046511628,60844.99999999999,0.2438540522776277,,,,,
postgresql_squirrel_r5,SQUIRREL,PostgreSQL,5,1440,707.84,0.21875,31.023255813953487,0.6744186046511628,60892.99999999999,0.2440464262526351,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,0,101.12,0.03125,8.0,0.1627906976744186,16955.0,0.0679520988802231,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,60,101.12,0.03125,8.0,0.1627906976744186,17221.0,0.0690181713250559,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,180,101.12,0.03125,8.0,0.1627906976744186,17245.0,0.0691143583125596,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,300,101.12,0.03125,8.0,0.1627906976744186,20147.0,0.0807449682182162,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,480,101.12,0.03125,8.0,0.1627906976744186,20622.0,0.0826486690125604,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,600,101.12,0.03125,8.0,0.1627906976744186,20622.0,0.0826486690125604,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,720,101.12,0.03125,8.0,0.1627906976744186,20688.0,0.0829131832281956,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,900,101.12,0.03125,8.0,0.1627906976744186,20689.0,0.0829171910193416,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,1200,101.12,0.03125,8.0,0.1627906976744186,20689.0,0.0829171910193416,,,,,
postgresql_dynsql_r1,DynSQL,PostgreSQL,1,1440,101.12,0.03125,8.0,0.1627906976744186,20689.0,0.0829171910193416,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,0,101.12,0.03125,8.0,0.1627906976744186,16951.0,0.0679360677156392,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,60,101.12,0.03125,8.0,0.1627906976744186,17218.0,0.0690061479516179,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,180,101.12,0.03125,8.0,0.1627906976744186,17235.0,0.0690742804010997,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,300,101.12,0.03125,8.0,0.1627906976744186,20147.0,0.0807449682182162,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,480,101.12,0.03125,8.0,0.1627906976744186,20617.0,0.0826286300568304,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,600,101.12,0.03125,8.0,0.1627906976744186,20617.0,0.0826286300568304,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,720,101.12,0.03125,8.0,0.1627906976744186,20687.0,0.0829091754370496,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,900,101.12,0.03125,8.0,0.1627906976744186,20687.0,0.0829091754370496,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,1200,101.12,0.03125,8.0,0.1627906976744186,20687.0,0.0829091754370496,,,,,
postgresql_dynsql_r2,DynSQL,PostgreSQL,2,1440,101.12,0.03125,8.0,0.1627906976744186,20687.0,0.0829091754370496,,,,,
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,60,566.272,0.175,7.666666666666663,0.1666666666666666,162322.7188888889,0.6505555555555556,,,,,
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,180,566.272,0.175,7.666666666666663,0.1666666666666666,167416.96305555553,0.6709722222222222,,,,,
postgresql_sqlancer_r1,SQLancer,PostgreSQL,1,300,593.2373333333331648,0.1833333333333333,8.625,0.1875,169808.1388888889,0.6805555555555556,,,,,
