run,dedup_line_no,first_seen_hours,bug_id,status,match_confidence,match_score,exact_sql_match,first_frame_hit,first_distinctive_hit,top_distinctive_hit,frame_hits,distinctive_hits,word_jaccard,top_frame_demangled,jira_top_frames,trigger_summary,log_path,dedup_line
r2,15,3.033333333333333,MDEV-39889,Confirmed,unmatched,24.12295081967213,False,False,False,False,3,3,0.004098360655737705,st_select_lex_unit::exec_recursive(),_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000098_20260629_14h21m20s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000098_20260629_14h21m20s/griffin.log:[force_exit_all] #0 0x5d11a88b84d9 (_ZN18st_select_lex_unit14exec_recursiveEv+0x209)
r2,16,2.463611111111111,MDEV-39914,Fixed,stack_strong,77.03496503496504,False,True,True,True,7,7,0.16783216783216784,"String::append(char const*, unsigned long)",String::append|Gis_polygon::simplify|Item_func_simplify::val_str|in_string::set|Item_func_in::fix_in_vector|Type_handler_string_result::Item_func_in_fix_comparator_compatible_types|Item_func_in::fix_length_and_dec|Item_func::fix_fields,INFORMATION_SCHEMA query with ROW_NUMBER and GIS simplify,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000097_20260629_13h47m09s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000097_20260629_13h47m09s/griffin.log:[force_exit_all] #0 0x61d681856182 (_ZN6String6appendEPKcm+0x42)
r2,17,4.7347222222222225,MDEV-39890,Reported,weak_review,32.513513513513516,False,False,False,False,3,3,0.28378378378378377,__nss_database_lookup,hp_rec_hashnr|hp_write_key|heap_write|ha_heap::write_row|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select,"Recursive CTE with GET_LOCK, geohash, and XML predicate",/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000478_20260629_16h03m25s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000478_20260629_16h03m25s/griffin.log:[force_exit_all] #0 0x77ed19e6384d (__nss_database_lookup+0x285fd)
r2,18,3.747777777777778,MDEV-39887,Confirmed,weak_review,42.18867924528302,False,False,False,False,6,6,0.33962264150943394,__nss_database_lookup,setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000293_20260629_15h04m12s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000293_20260629_15h04m12s/griffin.log:[force_exit_all] #0 0x7640cae640ca (__nss_database_lookup+0x28e7a)
r2,19,4.175833333333333,MDEV-39889,Confirmed,unmatched,24.19672131147541,False,False,False,False,3,3,0.006557377049180328,heap_rkey,_ma_unique_hash|maria_write|handler::ha_write_tmp_row|end_write|evaluate_join_record|sub_select|JOIN::exec_inner|JOIN::exec,GIS and JSON/XML predicates inside set-operation query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000367_20260629_15h29m53s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000367_20260629_15h29m53s/griffin.log:[force_exit_all] #0 0x609998a4d567 (heap_rkey+0x37)
r2,20,1.7236111111111112,MDEV-39887,Confirmed,weak_review,35.6,False,False,False,False,4,4,0.12,json_find_path,setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000012_20260629_13h02m45s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000012_20260629_13h02m45s/griffin.log:[force_exit_all] #0 0x58c909546c1a (json_find_path+0x4a)
r2,21,4.7316666666666665,MDEV-39887,Confirmed,weak_review,26.90909090909091,False,False,False,False,2,2,0.36363636363636365,maria_scan_end,setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000475_20260629_16h03m14s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000475_20260629_16h03m14s/griffin.log:[force_exit_all] #0 0x5ca52fd1db35 (maria_scan_end+0x25)
r2,22,11.766666666666667,MDEV-39884,Confirmed,stack_strong,52.71823204419889,False,True,True,False,4,4,0.02394106813996317,my_strnncoll_binary,Item_field::fix_fields|create_view_field|find_field_in_table_ref|find_field_in_tables|Item_direct_view_ref::fix_fields|Item_func::fix_fields|st_select_lex::pushdown_from_having_into_where|JOIN::optimize_inner,Server crash in Item_field::fix_fields with generated SQL query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000791_20260629_23h05m20s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000791_20260629_23h05m20s/griffin.log:[force_exit_all] #0 0x587c8d222ebc (my_strnncoll_binary+0xc)
r2,23,1.0455555555555556,MDEV-39911,Fixed,stack_strong,36.74441687344913,False,True,True,False,8,2,0.02481389578163772,pthread_kill,pthread_kill|raise|abort|__fsetlocking|__fortify_fail|__stack_chk_fail|Item_func_concat_ws::val_str|Type_handler::Item_send_str,ST_CONVEXHULL and ST_SIMPLIFY string concatenation,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000000_20260629_12h22m04s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd2/logSaved/id_000000_20260629_12h22m04s/griffin.log:[force_exit_all] #0 0x7a70135ef9fc (pthread_kill+0x12c)
r3,1,1.5675,MDEV-39887,Confirmed,stack_strong,75.63636363636364,False,True,True,True,8,8,0.12121212121212122,"setup_copy_fields(THD*, TMP_TABLE_PARAM*, Bounds_checked_array<Item*>, List<Item>&, List<Item>&, unsigned int, List<Item>&)",setup_copy_fields|JOIN::make_aggr_tables_info|JOIN::optimize_stage2|JOIN::optimize_inner|JOIN::optimize|st_select_lex::optimize_unflattened_subqueries|mysql_select|handle_select,Nested recursive CTE with GIS geohash and window expression,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd3/logSaved/id_000000_20260629_12h53m26s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd3/logSaved/id_000000_20260629_12h53m26s/griffin.log:[force_exit_all] #0 0x5fa4dabe6a9e (_Z17setup_copy_fieldsP3THDP15TMP_TABLE_PARAM20Bounds_checked_arrayIP4ItemER4ListIS4_ES9_jS9_+0x4fe)
r3,2,4.4527777777777775,MDEV-39884,Confirmed,stack_strong,55.49514563106796,False,True,True,False,4,4,0.11650485436893204,"find_field_in_table(THD*, TABLE*, Lex_ident_column const&, bool, unsigned short*)",Item_field::fix_fields|create_view_field|find_field_in_table_ref|find_field_in_tables|Item_direct_view_ref::fix_fields|Item_func::fix_fields|st_select_lex::pushdown_from_having_into_where|JOIN::optimize_inner,Server crash in Item_field::fix_fields with generated SQL query,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd3/logSaved/id_000020_20260629_15h46m33s/griffin.log,/root/dfuzz-griffin/griffin_output/griffin_mariadb_sqleek_rnd3/logSaved/id_000020_20260629_15h46m33s/griffin.log:[force_exit_all] #0 0x575168af6e84 (_Z19find_field_in_tableP3THDP5TABLERK16Lex_ident_columnbPt+0x44)
